Group,Subgroup,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Year,Start_Month
By Education,High school diploma or GED,2022-04-27,2022-05-09,31.5,29.7,33.3,29.7 - 33.3,2022,Apr
By Education,Some college/Associate's degree,2022-04-27,2022-05-09,36.6,35.3,37.8,35.3 - 37.8,2022,Apr
By Education,Bachelor's degree or higher,2022-04-27,2022-05-09,23.9,23,24.8,23.0 - 24.8,2022,Apr
By Disability status,With disability,2022-04-27,2022-05-09,62,59.9,64,59.9 - 64.0,2022,Apr
By Disability status,Without disability,2022-04-27,2022-05-09,25.1,24.1,26,24.1 - 26.0,2022,Apr
National Estimate,United States,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Age,18 - 29 years,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Age,30 - 39 years,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Age,40 - 49 years,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Age,50 - 59 years,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Age,60 - 69 years,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Age,70 - 79 years,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Age,80 years and above,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Sex,Male,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Sex,Female,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Gender identity,Cis-gender male,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Gender identity,Cis-gender female,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Gender identity,Transgender,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Sexual orientation,Gay or lesbian,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Sexual orientation,Straight,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Sexual orientation,Bisexual,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Race/Hispanic ethnicity,Hispanic or Latino,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Education,Less than a high school diploma,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Education,High school diploma or GED,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Education,Some college/Associate's degree,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Education,Bachelor's degree or higher,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Disability status,With disability,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Disability status,Without disability,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
National Estimate,United States,2022-06-01,2022-06-13,22.4,21.7,23.2,21.7 - 23.2,2022,Jun
By Age,18 - 29 years,2022-06-01,2022-06-13,36.6,33.3,40.1,33.3 - 40.1,2022,Jun
By Age,30 - 39 years,2022-06-01,2022-06-13,26.8,25.1,28.6,25.1 - 28.6,2022,Jun
By Age,40 - 49 years,2022-06-01,2022-06-13,22.6,20.9,24.3,20.9 - 24.3,2022,Jun
By Age,50 - 59 years,2022-06-01,2022-06-13,21.9,20.2,23.6,20.2 - 23.6,2022,Jun
By Age,60 - 69 years,2022-06-01,2022-06-13,16.2,15,17.5,15.0 - 17.5,2022,Jun
By Age,70 - 79 years,2022-06-01,2022-06-13,10.3,9.2,11.6,9.2 - 11.6,2022,Jun
By Age,80 years and above,2022-06-01,2022-06-13,13.4,9.6,18.2,9.6 - 18.2,2022,Jun
By Sex,Male,2022-06-01,2022-06-13,20.9,19.8,22.1,19.8 - 22.1,2022,Jun
By Sex,Female,2022-06-01,2022-06-13,23.9,22.9,24.8,22.9 - 24.8,2022,Jun
By Gender identity,Cis-gender male,2022-06-01,2022-06-13,20.4,19.3,21.6,19.3 - 21.6,2022,Jun
By Gender identity,Cis-gender female,2022-06-01,2022-06-13,23.1,22.1,24.1,22.1 - 24.1,2022,Jun
By Gender identity,Transgender,2022-06-01,2022-06-13,58.7,48,68.8,48.0 - 68.8,2022,Jun
By Sexual orientation,Gay or lesbian,2022-06-01,2022-06-13,26.1,22.4,30.1,22.4 - 30.1,2022,Jun
By Sexual orientation,Straight,2022-06-01,2022-06-13,20,19.3,20.7,19.3 - 20.7,2022,Jun
By Sexual orientation,Bisexual,2022-06-01,2022-06-13,45.2,40.7,49.8,40.7 - 49.8,2022,Jun
By Race/Hispanic ethnicity,Hispanic or Latino,2022-06-01,2022-06-13,25.9,23.4,28.7,23.4 - 28.7,2022,Jun
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2022-06-01,2022-06-13,21.2,20.5,21.9,20.5 - 21.9,2022,Jun
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2022-06-01,2022-06-13,24.9,22,28.1,22.0 - 28.1,2022,Jun
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2022-06-01,2022-06-13,14.8,12.3,17.5,12.3 - 17.5,2022,Jun
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2022-06-01,2022-06-13,31.2,27.3,35.4,27.3 - 35.4,2022,Jun
By Education,Less than a high school diploma,2022-06-01,2022-06-13,30.4,25.3,35.8,25.3 - 35.8,2022,Jun
By Education,High school diploma or GED,2022-06-01,2022-06-13,25.3,23.8,26.9,23.8 - 26.9,2022,Jun
By Education,Some college/Associate's degree,2022-06-01,2022-06-13,26.1,24.9,27.3,24.9 - 27.3,2022,Jun
By Education,Bachelor's degree or higher,2022-06-01,2022-06-13,14.8,14.1,15.5,14.1 - 15.5,2022,Jun
By Disability status,With disability,2022-06-01,2022-06-13,49.7,47.7,51.8,47.7 - 51.8,2022,Jun
By Disability status,Without disability,2022-06-01,2022-06-13,17.2,16.6,17.9,16.6 - 17.9,2022,Jun
National Estimate,United States,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Age,18 - 29 years,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Age,30 - 39 years,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Age,40 - 49 years,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Age,50 - 59 years,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Age,60 - 69 years,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Age,70 - 79 years,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Age,80 years and above,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Sex,Male,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Sex,Female,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Gender identity,Cis-gender male,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Gender identity,Cis-gender female,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Gender identity,Transgender,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Sexual orientation,Gay or lesbian,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Sexual orientation,Straight,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Sexual orientation,Bisexual,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Race/Hispanic ethnicity,Hispanic or Latino,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Education,Less than a high school diploma,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Education,High school diploma or GED,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Education,Some college/Associate's degree,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Education,Bachelor's degree or higher,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Disability status,With disability,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Disability status,Without disability,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
National Estimate,United States,2022-06-01,2022-06-13,28.9,28.1,29.6,28.1 - 29.6,2022,Jun
By Age,18 - 29 years,2022-06-01,2022-06-13,44.9,42,47.9,42.0 - 47.9,2022,Jun
By Age,30 - 39 years,2022-06-01,2022-06-13,35.9,34.3,37.5,34.3 - 37.5,2022,Jun
By Age,40 - 49 years,2022-06-01,2022-06-13,30.3,28.2,32.4,28.2 - 32.4,2022,Jun
By Age,50 - 59 years,2022-06-01,2022-06-13,27.7,25.9,29.5,25.9 - 29.5,2022,Jun
By Age,60 - 69 years,2022-06-01,2022-06-13,20.9,19.6,22.2,19.6 - 22.2,2022,Jun
By Age,70 - 79 years,2022-06-01,2022-06-13,12.8,11.4,14.3,11.4 - 14.3,2022,Jun
By Age,80 years and above,2022-06-01,2022-06-13,16.4,11.6,22.3,11.6 - 22.3,2022,Jun
By Sex,Male,2022-06-01,2022-06-13,25,23.8,26.2,23.8 - 26.2,2022,Jun
By Sex,Female,2022-06-01,2022-06-13,32.6,31.6,33.5,31.6 - 33.5,2022,Jun
By Gender identity,Cis-gender male,2022-06-01,2022-06-13,24.5,23.3,25.7,23.3 - 25.7,2022,Jun
By Gender identity,Cis-gender female,2022-06-01,2022-06-13,31.8,30.8,32.7,30.8 - 32.7,2022,Jun
By Gender identity,Transgender,2022-06-01,2022-06-13,71,61.6,79.3,61.6 - 79.3,2022,Jun
By Sexual orientation,Gay or lesbian,2022-06-01,2022-06-13,31.5,27,36.2,27.0 - 36.2,2022,Jun
By Sexual orientation,Straight,2022-06-01,2022-06-13,26.4,25.7,27.2,25.7 - 27.2,2022,Jun
By Sexual orientation,Bisexual,2022-06-01,2022-06-13,55.6,50.7,60.5,50.7 - 60.5,2022,Jun
By Race/Hispanic ethnicity,Hispanic or Latino,2022-06-01,2022-06-13,34.1,31.3,36.9,31.3 - 36.9,2022,Jun
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2022-06-01,2022-06-13,27.8,27.1,28.6,27.1 - 28.6,2022,Jun
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2022-06-01,2022-06-13,28.6,26.2,31.1,26.2 - 31.1,2022,Jun
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2022-06-01,2022-06-13,19,16.7,21.5,16.7 - 21.5,2022,Jun
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2022-06-01,2022-06-13,37.4,33.4,41.5,33.4 - 41.5,2022,Jun
By Education,Less than a high school diploma,2022-06-01,2022-06-13,36.3,30.6,42.2,30.6 - 42.2,2022,Jun
By Education,High school diploma or GED,2022-06-01,2022-06-13,30.4,28.7,32.1,28.7 - 32.1,2022,Jun
By Education,Some college/Associate's degree,2022-06-01,2022-06-13,32.4,31.2,33.6,31.2 - 33.6,2022,Jun
By Education,Bachelor's degree or higher,2022-06-01,2022-06-13,22.7,21.9,23.5,21.9 - 23.5,2022,Jun
By Disability status,With disability,2022-06-01,2022-06-13,56.3,54.2,58.4,54.2 - 58.4,2022,Jun
By Disability status,Without disability,2022-06-01,2022-06-13,23.4,22.7,24.2,22.7 - 24.2,2022,Jun
National Estimate,United States,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Age,18 - 29 years,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Age,30 - 39 years,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Age,40 - 49 years,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Age,50 - 59 years,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Age,60 - 69 years,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Age,70 - 79 years,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Age,80 years and above,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Sex,Male,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Sex,Female,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Gender identity,Cis-gender male,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Gender identity,Cis-gender female,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Gender identity,Transgender,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Sexual orientation,Gay or lesbian,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Sexual orientation,Straight,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Sexual orientation,Bisexual,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Race/Hispanic ethnicity,Hispanic or Latino,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Education,Less than a high school diploma,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Education,High school diploma or GED,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Education,Some college/Associate's degree,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Education,Bachelor's degree or higher,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Disability status,With disability,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
By Disability status,Without disability,2022-05-25,2022-05-31,NA,NA,NA,NA,2022,May
National Estimate,United States,2022-06-01,2022-06-13,32.8,32,33.6,32.0 - 33.6,2022,Jun
By Age,18 - 29 years,2022-06-01,2022-06-13,50,47,52.9,47.0 - 52.9,2022,Jun
By Age,30 - 39 years,2022-06-01,2022-06-13,39.5,37.9,41.2,37.9 - 41.2,2022,Jun
By Age,40 - 49 years,2022-06-01,2022-06-13,34.1,32,36.3,32.0 - 36.3,2022,Jun
By Age,50 - 59 years,2022-06-01,2022-06-13,31.9,29.9,33.9,29.9 - 33.9,2022,Jun
By Age,60 - 69 years,2022-06-01,2022-06-13,24.6,23.2,26.1,23.2 - 26.1,2022,Jun
By Age,70 - 79 years,2022-06-01,2022-06-13,15.9,14.5,17.3,14.5 - 17.3,2022,Jun
By Age,80 years and above,2022-06-01,2022-06-13,19.6,15,25,15.0 - 25.0,2022,Jun
By Sex,Male,2022-06-01,2022-06-13,29.7,28.4,30.9,28.4 - 30.9,2022,Jun
By Sex,Female,2022-06-01,2022-06-13,35.8,34.8,36.8,34.8 - 36.8,2022,Jun
By Gender identity,Cis-gender male,2022-06-01,2022-06-13,29.2,27.9,30.5,27.9 - 30.5,2022,Jun
By Gender identity,Cis-gender female,2022-06-01,2022-06-13,35,34,36,34.0 - 36.0,2022,Jun
By Gender identity,Transgender,2022-06-01,2022-06-13,74.2,65.8,81.4,65.8 - 81.4,2022,Jun
By Sexual orientation,Gay or lesbian,2022-06-01,2022-06-13,36,31.8,40.4,31.8 - 40.4,2022,Jun
By Sexual orientation,Straight,2022-06-01,2022-06-13,30.2,29.4,31,29.4 - 31.0,2022,Jun
By Sexual orientation,Bisexual,2022-06-01,2022-06-13,59.7,54.8,64.5,54.8 - 64.5,2022,Jun
By Race/Hispanic ethnicity,Hispanic or Latino,2022-06-01,2022-06-13,37.3,34.6,40.2,34.6 - 40.2,2022,Jun
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2022-06-01,2022-06-13,31.7,30.9,32.4,30.9 - 32.4,2022,Jun
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2022-06-01,2022-06-13,33.9,31,36.9,31.0 - 36.9,2022,Jun
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2022-06-01,2022-06-13,22.7,20.2,25.4,20.2 - 25.4,2022,Jun
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2022-06-01,2022-06-13,42.1,38,46.2,38.0 - 46.2,2022,Jun
By Education,Less than a high school diploma,2022-06-01,2022-06-13,39.6,33.9,45.5,33.9 - 45.5,2022,Jun
By Education,High school diploma or GED,2022-06-01,2022-06-13,35.1,33.3,36.8,33.3 - 36.8,2022,Jun
By Education,Some college/Associate's degree,2022-06-01,2022-06-13,36.9,35.6,38.1,35.6 - 38.1,2022,Jun
By Education,Bachelor's degree or higher,2022-06-01,2022-06-13,25.6,24.8,26.4,24.8 - 26.4,2022,Jun
By Disability status,With disability,2022-06-01,2022-06-13,62.7,60.6,64.7,60.6 - 64.7,2022,Jun
By Disability status,Without disability,2022-06-01,2022-06-13,27,26.2,27.7,26.2 - 27.7,2022,Jun
National Estimate,United States,2022-06-29,2022-07-11,23.2,22.5,23.9,22.5 - 23.9,2022,Jun
By Age,18 - 29 years,2022-06-29,2022-07-11,36.9,34.2,39.7,34.2 - 39.7,2022,Jun
By Age,30 - 39 years,2022-06-29,2022-07-11,27.7,25.9,29.7,25.9 - 29.7,2022,Jun
By Age,40 - 49 years,2022-06-29,2022-07-11,25.3,23.7,27,23.7 - 27.0,2022,Jun
By Age,50 - 59 years,2022-06-29,2022-07-11,22.8,21.1,24.6,21.1 - 24.6,2022,Jun
By Age,60 - 69 years,2022-06-29,2022-07-11,15.8,14.5,17.2,14.5 - 17.2,2022,Jun
By Age,70 - 79 years,2022-06-29,2022-07-11,11.8,10.2,13.6,10.2 - 13.6,2022,Jun
By Age,80 years and above,2022-06-29,2022-07-11,9.6,6.8,13.1,6.8 - 13.1,2022,Jun
By Sex,Male,2022-06-29,2022-07-11,21.2,20.3,22.2,20.3 - 22.2,2022,Jun
By Sex,Female,2022-06-29,2022-07-11,25.1,24,26.1,24.0 - 26.1,2022,Jun
By Gender identity,Cis-gender male,2022-06-29,2022-07-11,20.7,19.7,21.7,19.7 - 21.7,2022,Jun
By Gender identity,Cis-gender female,2022-06-29,2022-07-11,24.3,23.4,25.3,23.4 - 25.3,2022,Jun
By Gender identity,Transgender,2022-06-29,2022-07-11,59.1,45.5,71.8,45.5 - 71.8,2022,Jun
By Sexual orientation,Gay or lesbian,2022-06-29,2022-07-11,28.6,24.3,33.1,24.3 - 33.1,2022,Jun
By Sexual orientation,Straight,2022-06-29,2022-07-11,20.9,20.2,21.7,20.2 - 21.7,2022,Jun
By Sexual orientation,Bisexual,2022-06-29,2022-07-11,46.9,42.2,51.7,42.2 - 51.7,2022,Jun
By Race/Hispanic ethnicity,Hispanic or Latino,2022-06-29,2022-07-11,26,23.8,28.2,23.8 - 28.2,2022,Jun
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2022-06-29,2022-07-11,22.2,21.4,23,21.4 - 23.0,2022,Jun
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2022-06-29,2022-07-11,26,24,28,24.0 - 28.0,2022,Jun
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2022-06-29,2022-07-11,15.7,12.5,19.4,12.5 - 19.4,2022,Jun
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2022-06-29,2022-07-11,31.2,27.2,35.4,27.2 - 35.4,2022,Jun
By Education,Less than a high school diploma,2022-06-29,2022-07-11,30.2,26,34.7,26.0 - 34.7,2022,Jun
By Education,High school diploma or GED,2022-06-29,2022-07-11,25.8,24.3,27.4,24.3 - 27.4,2022,Jun
By Education,Some college/Associate's degree,2022-06-29,2022-07-11,27.5,26.2,28.7,26.2 - 28.7,2022,Jun
By Education,Bachelor's degree or higher,2022-06-29,2022-07-11,15.6,14.9,16.2,14.9 - 16.2,2022,Jun
By Disability status,With disability,2022-06-29,2022-07-11,51.6,49.2,54,49.2 - 54.0,2022,Jun
By Disability status,Without disability,2022-06-29,2022-07-11,17.5,16.8,18.3,16.8 - 18.3,2022,Jun
National Estimate,United States,2022-06-29,2022-07-11,28.8,28,29.6,28.0 - 29.6,2022,Jun
By Age,18 - 29 years,2022-06-29,2022-07-11,42.9,40.2,45.7,40.2 - 45.7,2022,Jun
By Age,30 - 39 years,2022-06-29,2022-07-11,36.8,34.8,38.9,34.8 - 38.9,2022,Jun
By Age,40 - 49 years,2022-06-29,2022-07-11,32.9,31.1,34.6,31.1 - 34.6,2022,Jun
By Age,50 - 59 years,2022-06-29,2022-07-11,27.4,25.8,29,25.8 - 29.0,2022,Jun
By Age,60 - 69 years,2022-06-29,2022-07-11,18.7,17.2,20.2,17.2 - 20.2,2022,Jun
By Age,70 - 79 years,2022-06-29,2022-07-11,14.2,12.3,16.2,12.3 - 16.2,2022,Jun
By Age,80 years and above,2022-06-29,2022-07-11,14.9,10.1,20.9,10.1 - 20.9,2022,Jun
By Sex,Male,2022-06-29,2022-07-11,24.5,23.3,25.7,23.3 - 25.7,2022,Jun
By Sex,Female,2022-06-29,2022-07-11,32.8,31.8,33.9,31.8 - 33.9,2022,Jun
By Gender identity,Cis-gender male,2022-06-29,2022-07-11,23.9,22.7,25.2,22.7 - 25.2,2022,Jun
By Gender identity,Cis-gender female,2022-06-29,2022-07-11,32.1,31.1,33.1,31.1 - 33.1,2022,Jun
By Gender identity,Transgender,2022-06-29,2022-07-11,75,66.3,82.5,66.3 - 82.5,2022,Jun
By Sexual orientation,Gay or lesbian,2022-06-29,2022-07-11,36.6,32.6,40.7,32.6 - 40.7,2022,Jun
By Sexual orientation,Straight,2022-06-29,2022-07-11,26.2,25.4,26.9,25.4 - 26.9,2022,Jun
By Sexual orientation,Bisexual,2022-06-29,2022-07-11,57.8,53,62.6,53.0 - 62.6,2022,Jun
By Race/Hispanic ethnicity,Hispanic or Latino,2022-06-29,2022-07-11,32,29.5,34.6,29.5 - 34.6,2022,Jun
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2022-06-29,2022-07-11,28.3,27.5,29.1,27.5 - 29.1,2022,Jun
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2022-06-29,2022-07-11,29.3,26.8,31.9,26.8 - 31.9,2022,Jun
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2022-06-29,2022-07-11,17.4,14.4,20.7,14.4 - 20.7,2022,Jun
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2022-06-29,2022-07-11,37.6,33.8,41.5,33.8 - 41.5,2022,Jun
By Education,Less than a high school diploma,2022-06-29,2022-07-11,33.7,29.1,38.5,29.1 - 38.5,2022,Jun
By Education,High school diploma or GED,2022-06-29,2022-07-11,29.5,28.1,30.9,28.1 - 30.9,2022,Jun
By Education,Some college/Associate's degree,2022-06-29,2022-07-11,33.4,32,34.8,32.0 - 34.8,2022,Jun
By Education,Bachelor's degree or higher,2022-06-29,2022-07-11,23,22.1,23.9,22.1 - 23.9,2022,Jun
By Disability status,With disability,2022-06-29,2022-07-11,55.1,52.8,57.3,52.8 - 57.3,2022,Jun
By Disability status,Without disability,2022-06-29,2022-07-11,23.6,22.8,24.4,22.8 - 24.4,2022,Jun
National Estimate,United States,2022-06-29,2022-07-11,33.3,32.5,34,32.5 - 34.0,2022,Jun
By Age,18 - 29 years,2022-06-29,2022-07-11,49.7,46.8,52.6,46.8 - 52.6,2022,Jun
By Age,30 - 39 years,2022-06-29,2022-07-11,41,39,43,39.0 - 43.0,2022,Jun
By Age,40 - 49 years,2022-06-29,2022-07-11,36.9,35.1,38.8,35.1 - 38.8,2022,Jun
By Age,50 - 59 years,2022-06-29,2022-07-11,31.7,30,33.5,30.0 - 33.5,2022,Jun
By Age,60 - 69 years,2022-06-29,2022-07-11,22.9,21.4,24.4,21.4 - 24.4,2022,Jun
By Age,70 - 79 years,2022-06-29,2022-07-11,17.7,15.7,19.8,15.7 - 19.8,2022,Jun
By Age,80 years and above,2022-06-29,2022-07-11,18.7,13.8,24.3,13.8 - 24.3,2022,Jun
By Sex,Male,2022-06-29,2022-07-11,29.6,28.5,30.7,28.5 - 30.7,2022,Jun
By Sex,Female,2022-06-29,2022-07-11,36.7,35.7,37.7,35.7 - 37.7,2022,Jun
By Gender identity,Cis-gender male,2022-06-29,2022-07-11,29.1,28,30.3,28.0 - 30.3,2022,Jun
By Gender identity,Cis-gender female,2022-06-29,2022-07-11,35.9,34.9,36.9,34.9 - 36.9,2022,Jun
By Gender identity,Transgender,2022-06-29,2022-07-11,78.7,69.9,85.9,69.9 - 85.9,2022,Jun
By Sexual orientation,Gay or lesbian,2022-06-29,2022-07-11,42,37.7,46.3,37.7 - 46.3,2022,Jun
By Sexual orientation,Straight,2022-06-29,2022-07-11,30.5,29.7,31.3,29.7 - 31.3,2022,Jun
By Sexual orientation,Bisexual,2022-06-29,2022-07-11,62.2,57.1,67.1,57.1 - 67.1,2022,Jun
By Race/Hispanic ethnicity,Hispanic or Latino,2022-06-29,2022-07-11,37.8,35.2,40.4,35.2 - 40.4,2022,Jun
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2022-06-29,2022-07-11,32.4,31.6,33.3,31.6 - 33.3,2022,Jun
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2022-06-29,2022-07-11,33.8,31.3,36.4,31.3 - 36.4,2022,Jun
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2022-06-29,2022-07-11,21.3,17.9,24.9,17.9 - 24.9,2022,Jun
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2022-06-29,2022-07-11,43,39.3,46.8,39.3 - 46.8,2022,Jun
By Education,Less than a high school diploma,2022-06-29,2022-07-11,39,34.5,43.7,34.5 - 43.7,2022,Jun
By Education,High school diploma or GED,2022-06-29,2022-07-11,35.3,33.7,36.9,33.7 - 36.9,2022,Jun
By Education,Some college/Associate's degree,2022-06-29,2022-07-11,38.1,36.7,39.4,36.7 - 39.4,2022,Jun
By Education,Bachelor's degree or higher,2022-06-29,2022-07-11,25.9,25.1,26.8,25.1 - 26.8,2022,Jun
By Disability status,With disability,2022-06-29,2022-07-11,62.9,60.8,65,60.8 - 65.0,2022,Jun
By Disability status,Without disability,2022-06-29,2022-07-11,27.4,26.6,28.1,26.6 - 28.1,2022,Jun
National Estimate,United States,2022-07-27,2022-08-08,22,21.3,22.6,21.3 - 22.6,2022,Jul
By Age,18 - 29 years,2022-07-27,2022-08-08,32.4,30.5,34.3,30.5 - 34.3,2022,Jul
By Age,30 - 39 years,2022-07-27,2022-08-08,27,25.1,29,25.1 - 29.0,2022,Jul
By Age,40 - 49 years,2022-07-27,2022-08-08,22.6,20.9,24.4,20.9 - 24.4,2022,Jul
By Age,50 - 59 years,2022-07-27,2022-08-08,22.6,20.7,24.6,20.7 - 24.6,2022,Jul
By Age,60 - 69 years,2022-07-27,2022-08-08,15.1,13.7,16.7,13.7 - 16.7,2022,Jul
By Age,70 - 79 years,2022-07-27,2022-08-08,11,9.3,12.9,9.3 - 12.9,2022,Jul
By Age,80 years and above,2022-07-27,2022-08-08,7.4,4.5,11.5,4.5 - 11.5,2022,Jul
By Sex,Male,2022-07-27,2022-08-08,20.6,19.6,21.6,19.6 - 21.6,2022,Jul
